Activity ID,currency,min_threshold,max_threshold,price_per_person,price_per_vehicle,slab_type,vehicle_type
ATRA_57820,USD,2,3,,88,transfer,none
ATRA_57820,USD,4,5,,95,transfer,none
ATRA_57820,USD,6,7,,110,transfer,none
ATRA_57820,USD,8,9,,130,transfer,none
ATRA_57821,USD,2,3,,70,transfer,none
ATRA_57821,USD,4,5,,80,transfer,none
ATRA_57821,USD,6,7,,105,transfer,none
ATRA_57821,USD,8,9,,120,transfer,none
ATRA_57822,USD,2,3,,70,transfer,none
ATRA_57822,USD,4,5,,80,transfer,none
ATRA_57822,USD,6,7,,105,transfer,none
ATRA_57822,USD,8,9,,120,transfer,none
